role
""
Armorer
Artist
Author
Barrelsmith
Binder
Bladesmith
Calligrapher
Culture
Decorator
Dedicatee
Department Store
Design House
Designer
Draftsman
Editor
Engraver
Etcher
Factory
Factory director
Fittings maker
Former Attribution
Founder
Goldsmith
Gunsmith
Illuminator
Illustrator
Maker
Manufactory
Manufacturer
Modeler
Patron
Person in Photograph
Photographer
Photography Studio
Poet
Printer
Printmaker
Publisher
Retailer
Silversmith
Sitter
Subject of book
Sword cutler
Sword maker
Swordsmith
Translator
